Batch,Gene,sgRNA,AEI,A2CEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
ALPHA,TFEC,TFEC_2,0.946637681176,0.0650090660234,0.0953116893953,0.0802209164534,0.0561553284871,0.245993534138
ALPHA,THUMPD2,THUMPD2_2,0.890267423536,0.0635209333464,0.0972028567347,0.0792883648426,0.0580359865171,0.255943773782
ALPHA,TERF2IP,TERF2IP_2,0.911647170046,0.0620752712236,0.102371513382,0.0810183536713,0.0595982734521,0.253942868472
ALPHA,TERT,TERT_3,0.896381256321,0.0652176273753,0.0997051140079,0.0820739121576,0.0552633168992,0.25451217675
ALPHA,TGIF2,TGIF2_3,0.934338398276,0.0657265539712,0.103609586712,0.0821375544585,0.0576749204753,0.258492217922
ALPHA,THAP11,THAP11_3,0.920657276322,0.0630199380198,0.0956874768834,0.079827056525,0.0590283077092,0.246226322188
ALPHA,TGIF1,TGIF1_2,0.962529715387,0.0647544010346,0.0929852864924,0.0853259368113,0.0641419583484,0.263380714709
ALPHA,TFB1M,TFB1M_2,0.91118218275,0.0621951415723,0.0954421231036,0.0794290602228,0.0604496888533,0.250860680015
ALPHA,THAP5,THAP5_1,0.941019836824,0.0663859771301,0.102520692583,0.0868990148404,0.0614108920535,0.267682036432
ALPHA,TFAP4,TFAP4_1,0.933826916504,0.0595911447809,0.0955680623404,0.0810206253532,0.0575164176221,0.257349854417
ALPHA,THRA,THRA_2,0.913593518942,0.0621018068573,0.0997209714494,0.0842957399987,0.0562979566629,0.250644654715
ALPHA,TFDP1,TFDP1_3,0.924123346792,0.0595124431736,0.0961719330013,0.0783994024594,0.0592637550898,0.255677720321
ALPHA,THAP11,THAP11_1,0.9195495604,0.0609958548529,0.0927362924722,0.080972597099,0.0565996725205,0.243937105828
ALPHA,THUMPD2,THUMPD2_3,0.92076836352,0.0655030567433,0.100944223234,0.0831590565785,0.0600131239773,0.258568654247
ALPHA,TERB1,TERB1_3,0.918371119389,0.0631783552993,0.100007642505,0.0852324842563,0.0589556954693,0.26128995768
ALPHA,TFCP2,TFCP2_1,0.938131419311,0.0626877918508,0.0972329294502,0.0804293753198,0.0584602253054,0.251133622743
ALPHA,TFAM,TFAM_3,0.974283814234,0.0607178008803,0.0973360181554,0.082149845969,0.0590500691609,0.254135900646
ALPHA,TFB1M,TFB1M_1,0.949098313147,0.0635567788505,0.0926016063038,0.0784619344544,0.0557173737539,0.247366696909
ALPHA,TFEC,TFEC_3,0.914978457074,0.0619511400946,0.0979700086729,0.0826569962286,0.0570222552229,0.249926943008
ALPHA,TFAP2A,TFAP2A_3,0.911390529044,0.0626875351195,0.101856809094,0.0821881881523,0.0577517444795,0.252468303286
ALPHA,TGFB1I1,TGFB1I1_1,0.931251895991,0.0605510270701,0.0980667536534,0.0814053579987,0.0576566884414,0.253678532687
ALPHA,SETD2,SETD2_3,0.892703362734,0.0628244399056,0.094065139239,0.0818173760923,0.0611644214862,0.249014669176
ALPHA,SCG2,SCG2_3,0.918612046198,0.0600439882829,0.0975752879621,0.0802899793429,0.0589471569927,0.248947171941
ALPHA,SAFB2,SAFB2_2,0.934546223821,0.0604533879837,0.0955726742908,0.0824936433162,0.0545147241235,0.252492628199
ALPHA,SART3,SART3_2,0.889461318676,0.0645183291965,0.0922568882762,0.0802140469661,0.0588635268679,0.252571436663
ALPHA,SAP30,SAP30_2,0.897262862499,0.0654776997219,0.0951290334061,0.0813843842705,0.0553991052266,0.251693603355
ALPHA,SAP30,SAP30_3,0.877980191925,0.0594342840041,0.0954477469271,0.0771916269871,0.0544067304491,0.237851232687
ALPHA,SERTAD3,SERTAD3_3,0.932119760688,0.0644688893618,0.100835175996,0.0857390647073,0.0580577105039,0.256391192848
ALPHA,SFMBT1,SFMBT1_2,0.912268187989,0.0638000830097,0.0984302011092,0.0859421479239,0.0594486410647,0.260969999888
ALPHA,SAP30L,SAP30L_3,0.916032315521,0.0632451813238,0.095313382789,0.0827887556355,0.0581358743209,0.249529272836
ALPHA,SCAI,SCAI_1,0.930409923525,0.0652372146489,0.0996857299581,0.0833892522821,0.058804689674,0.258800122876
ALPHA,SARNP,SARNP_3,0.932604209179,0.0611583973236,0.100524402815,0.0814497406117,0.054847143279,0.241894155145
ALPHA,SETDB2,SETDB2_2,0.909833322302,0.064683463676,0.100412233498,0.0860642777029,0.0604932086921,0.261030833934
ALPHA,SETD6,SETD6_1,0.911878556834,0.0596178773661,0.0948113482631,0.0829689062147,0.0582926092137,0.248458885699
ALPHA,SARNP,SARNP_1,0.892232622383,0.0625746658115,0.0876258647207,0.078773820174,0.056399780296,0.24522155983
ALPHA,SALL1,SALL1_3,0.922008715436,0.0620691343804,0.100331041354,0.0859951406336,0.0623789265984,0.259890317565
ALPHA,SALL4,SALL4_3,0.900434889568,0.0586140907576,0.0928423176819,0.0761647238035,0.0551886678453,0.25282844961
ALPHA,SAFB,SAFB_3,0.932763874229,0.0587214075604,0.0958054737896,0.0807874770262,0.0583910365781,0.262163813696
ALPHA,SERTAD3,SERTAD3_2,0.908410421577,0.0602421476668,0.096909749982,0.0823076225583,0.0590968409435,0.244611031419
ALPHA,SBNO2,SBNO2_3,0.924582675456,0.0636002162407,0.0988565686299,0.0815760449897,0.0612308406894,0.259129883566
ALPHA,SF1,SF1_3,0.888094219165,0.0622758715925,0.0900292898707,0.0811302560534,0.0526778227428,0.246279890142
ALPHA,SCML2,SCML2_3,0.914125119786,0.0605377315502,0.0922982133529,0.0803054683485,0.0579947472114,0.243575297564
ALPHA,SCYL1,SCYL1_3,0.929943340446,0.0619168403596,0.0961388016714,0.0822215759932,0.0610380451889,0.253593071996
ALPHA,SCAPER,SCAPER_3,0.900611757313,0.0631487931294,0.100385207766,0.0809790142121,0.0599607562672,0.256737639269
ALPHA,SAP30L,SAP30L_1,0.901416655555,0.063029651561,0.10240405257,0.0813597531356,0.0619786216341,0.248367859015
ALPHA,SAMD1,SAMD1_2,0.885317724838,0.0594040467491,0.0976230976069,0.0818252046366,0.0591675901378,0.251407604375
ALPHA,SETD1A,SETD1A_1,0.93245040414,0.0667164701704,0.10314364383,0.0874504144157,0.05951097598,0.265445890704
ALPHA,SAFB2,SAFB2_1,0.917599566475,0.0592981654868,0.0941934457948,0.0797871984385,0.0561385232288,0.252935470568
ALPHA,SALL1,SALL1_1,0.898554394385,0.0616142890712,0.097352073092,0.0815320625569,0.0568758780349,0.249705849433
ALPHA,SCX,SCX_1,0.898680641424,0.063322830354,0.0996164963255,0.0819244826777,0.0587001473079,0.256794650197
ALPHA,SETD7,SETD7_3,0.930330590107,0.0599793479903,0.10211720214,0.0836175015885,0.0570563578421,0.247887651754
ALPHA,SETMAR,SETMAR_3,0.934899494814,0.0621916839085,0.100386271391,0.0825787205574,0.0582044909903,0.257111775243
ALPHA,SETD2,SETD2_2,0.870088816146,0.0633221589746,0.0910975412939,0.0778634875558,0.0582879281972,0.2483040511
ALPHA,SETD3,SETD3_2,0.909878607044,0.0580719873361,0.0936359332054,0.0782605075222,0.057710731494,0.243362017112
ALPHA,SART3,SART3_3,0.897040728227,0.0620507427427,0.0983993765477,0.0831795826862,0.0572430079179,0.252262614487
