Batch,Gene,Gene Average AEI,Gene Average Z-Score,Gene Number of sgRNAs,observed_stat,p_value,num_permutations,p_value_corrected
ALPHA,SALL2,0.911237498274,-0.6917733569661395,2,-0.00790741385783067,0.3507301587301587,100000.0,0.6326853374072983
ALPHA,SETD9,0.9173062102464999,-0.16085726617376483,2,-0.0018387018853307513,0.8426666666666667,100000.0,0.9450609481595914
ALPHA,SALL3,0.9125324552345,-0.5784851517706304,2,-0.0066124568973306985,0.44063492063492066,100000.0,0.7077673123733731
ALPHA,SETD5,0.9563115472325,3.2514913716403253,2,0.03716663510066931,0.0030476190476190477,100000.0,0.036215320910973084
ALPHA,SENP1,0.9089624992266666,-0.8907997082314201,3,-0.010182412905164084,0.14103858961410387,100000.0,0.38511504987978534
ALPHA,SETSIP,0.916323817639,-0.24680104553925306,3,-0.0028210944928307446,0.6847931520684793,100000.0,0.8642782132074888
ALPHA,SETD4,0.9239808956423333,0.4230718927124781,3,0.004835983510502628,0.4898151018489815,100000.0,0.7428263789484157
ALPHA,SET,0.908068928354,-0.9689729938827901,2,-0.0110759837778307,0.18565079365079365,100000.0,0.45090303839762325
ALPHA,SCML1,0.9013557722700001,-1.5562677281108985,2,-0.017789139861830616,0.032,100000.0,0.15377582417582417
ALPHA,SAMD4A,0.9180889383574999,-0.09238096498687082,2,-0.001055973774330754,0.9094603174603174,100000.0,0.970845836263632
ALPHA,SETDB1,0.9274963302645001,0.7306166922505676,2,0.008351418132669375,0.318984126984127,100000.0,0.602166020851106
ALPHA,SETX,0.921301160288,0.18863753083672807,2,0.002156248156169327,0.8071111111111111,100000.0,0.9282742517742476
ALPHA,SCRT2,0.9295955685873333,0.9142667664426826,3,0.010450656455502583,0.14281857181428187,100000.0,0.38706352713424536
ALPHA,SFMBT2,0.918482286211,-0.05796926351741011,2,-0.0006626259208306617,0.9447619047619048,100000.0,0.9836770975056689
ALPHA,RYBP,0.91279157518,-0.5558162643469758,2,-0.0063533369518307126,0.4591746031746032,100000.0,0.722162942010213
ALPHA,PRMT7,0.927777504648,0.7552149933719937,3,0.008632592516169324,0.22773772262277378,100000.0,0.5036141901539265
