GNL3,RAD51
GNL3L,KAT8
GOLGA6B,SMYD4
GOLGA6D,SUDS3
GOLGA6L6,CDC73
GOLGA8N,TAF11
GOLGA8R,UTP3
GON4L,TELO2
GOSR2,RIC1
GOT2,CNOT10
GPATCH1,PPRC1
GPKOW,DERL2
GPN1,DNAJC2
GPN2,PCNP
GPN3,ATF6
GPR61,HSF1
GPS1,ZDHHC3
GPX4,SPOPL
GRAP,PARS2
GRPEL1,INTS13
GRWD1,BCS1L
GSDMA,PDCL3
GSG1L2,FARSB
GSPT1,NR3C1
GTF2A1,COQ9
GTF2A2,ELL
GTF2B,GET3
GTF2E1,SRSF1
GTF2E2,NPAT
GTF2F1,POU5F1
GTF2F2,THAP2
GTF2H1,DDX24
GTF2H3,PATZ1
GTF2H4,ABITRAM
GTF3A,TAF3
GTF3C1,PIKFYVE
GTF3C2,NFYC
GTF3C3,SNRNP40
GTF3C4,PRMT7
GTF3C5,SSR1
GTPBP4,MIS18A
GUK1,DIMT1
H1-2,TPRX2
H2AC11,RFT1
H2AC12,DDX1
H2AC15,DHX36
H2AC16,EWSR1
H2AC17,SKP1
H2AC20,MED10
H2AC25,VMP1
H2AC4,POLR1B
H2AC6,DDX10
H2AC7,ARID4B
H2AC8,DHX9
H2AJ,TSEN2
H2AX,NRF1
H2AZ1,XRN2
H2BC11,FDXR
H2BC12,OXNAD1
H2BC13,POLR3A
H2BC15,MYBL2
H2BC21,SMARCAL1
H2BC4,POLE
H2BC5,MNAT1
H2BC6,TAF6
H2BC8,RBM48
H2BC9,TBCA
H3-3A,ZNF511
H3C4,EXO1
H3C8,MMUT
HAP1,C1D
HAPLN2,PRIM2
HARS1,NUP160
HAUS1,EIF4G2
HAUS2,UTP18
HAUS3,UCHL5
HAUS4,FANCM
HAUS5,RBBP5
HAUS6,FKBPL
HAUS7,PES1
HAUS8,EXOSC4
HCFC1,CEP76
HDAC3,ATP8B3
HEATR1,SSB
HEATR5A,ORC4
HGS,LUC7L3
HIGD2A,MBTPS2
HIGD2B,GMNN
HINFP,SAFB
HIRA,GLI3
HJURP,PUM3
HJV,ZNF207
HMGA1,NUP88
HMGCR,NCL
HMGCS1,PFDN5
HMGN2,TSEN15
HNRNPC,YEATS4
HNRNPH1,CHP1
HNRNPK,GTF3A
HNRNPL,OSTC
HNRNPM,EXOSC3
HNRNPU,BECN1
HRK,ALG10
HS6ST1,WBP11
HSCB,UTP20
HSP90B1,EIF2S3
HSPA5,VPS51
HSPA8,GET1
HSPA9,MED21
HSPD1,PTTG1
HSPE1,TTC19
HTATSF1,MYBBP1A
HUWE1,NDUFA1
HYOU1,SNAPC3
HYPK,RAB10
IARS1,EIF3C
IARS2,RBBP8
ICE1,SPPL3
IDH3A,NDC80
IFITM3,TP53RK
IGBP1,NIFK
IK,NAA25
ILF2,PHRF1
ILF3,SLC25A28
IMMT,TMEM167A
IMP3,SPCS2
IMP4,PXMP2
IMPDH2,PAF1
INCENP,MEAF6
INHBE,HARS1
INO80,LRRC14
INO80B,NOL11
INTS1,ASH2L
INTS11,PMF1
INTS13,PCBP2
INTS2,VPS18
INTS3,HMBOX1
INTS4,CCDC9B
INTS5,KAT14
INTS6,EXOSC6
INTS7,UBE2T
INTS8,TARS2
INTS9,EXOSC5
IPO11,HROB
IPO13,ERCC3
IPO7,CENPL
IPO9,UBE2F
ISCA2,MRPL4
ISCU,F8A3
ISG20L2,UBA6
ISY1,RAD21
JMJD6,ICE1
KANSL1,EAPP
KANSL2,NKAP
KANSL3,POLR2B
KARS1,CHTF18
KAT5,MZT1
KAT7,DDX47
KAT8,DHX8
KCMF1,PPIE
KCNJ9,EPRS1
KDM2A,GNA12
KDM8,CRCP
KIAA1143,SMG7
KIF11,HIF1AN
KIF14,TGIF1
KIF18A,PPP1R2
KIF18B,UBXN2B
KIF20A,NEDD1
KIF23,CARS1
KIF4A,STX5
KIFBP,MED9
KIN,DHX16
KLC2,DCAF1
KLHL11,CHAF1B
KMT5A,ACTR2
KMT5B,RABGGTB
KNL1,POLR2G
KPNA2,ANLN
KPNB1,DDX59
KRI1,MAML1
KRR1,CEP120
KRT8,DAP3
KRTAP21-1,MCRIP1
KRTAP4-11,ARSK
KRTAP4-2,RIOK1
KRTAP4-3,PMVK
KRTAP5-11,XAB2
KRTAP5-7,SZT2
KTI12,SMNDC1
LACTB,RTN4IP1
LAMTOR2,CCNK
LAMTOR3,SKA2
LAMTOR4,IGBP1
LARS1,NDUFB6
LAS1L,MTOR
LCE1F,PRRT4
LCE2A,SRF
LCE2C,PARN
LCE3A,HPN
LCE5A,CTHRC1
LDHA,MED4
LENG1,SF3B3
LENG8,BORA
LETM1,UXT
LGALS9,RPL11
LGALS9B,PHF20
LIAS,GAK
LIG3,E2F1
LIN52,FBL
LIN9,WEE1
LLPH,GTF3C2
LMBR1L,UBA3
LMNA,NOC2L
LOC112694756,TGFBRAP1
LONP1,MRPS16
LRPPRC,ZC3H18
LRR1,DNAJC3
LSG1,OTUB1
LSM10,WDR12
LSM11,MGEA5
LSM14A,SWSAP1
LSM2,THOC1
LSM3,DDX20
LSM4,RCC1L
LSM5,TBCB
LSM6,PSIP1
LSM7,CARM1
LSM8,PRIM1
LST1,THOC5
